Date,Open,High,Low,Close
10/26/2020,11937.4,11942.85,11711.7,11767.75
10/23/2020,11957.9,11974.55,11908.75,11930.35
10/22/2020,11890,11939.55,11823.45,11896.45
10/21/2020,11958.55,12018.65,11775.75,11937.65
10/20/2020,11861,11949.25,11837.25,11896.8
10/19/2020,11879.2,11898.25,11820.4,11873.05
10/16/2020,11727.4,11789.75,11667.85,11762.45
10/15/2020,12023.45,12025.45,11661.3,11680.35
10/14/2020,11917.4,11997.2,11822.15,11971.05
10/13/2020,11934.65,11988.2,11888.9,11934.5
10-12-2020,11973.55,12022.05,11867.2,11930.95
10-09-2020,11852.05,11938.6,11805.2,11914.2
10-08-2020,11835.4,11905.7,11791.15,11834.6
10-07-2020,11679.25,11763.05,11629.35,11738.85
10-06-2020,11603.45,11680.3,11564.3,11662.4
10-05-2020,11487.8,11578.05,11452.3,11503.35
10-01-2020,11364.45,11428.6,11347.05,11416.95
09/30/2020,11244.45,11295.4,11184.55,11247.55
09/29/2020,11288.6,11305.4,11181,11222.4
09/28/2020,11140.85,11239.35,11099.85,11227.55
09/25/2020,10910.4,11072.6,10854.85,11050.25
09/24/2020,11011,11015.3,10790.2,10805.55
09/23/2020,11258.75,11259.55,11024.4,11131.85
09/22/2020,11301.75,11302.2,11084.65,11153.65
09/21/2020,11503.8,11535.25,11218.5,11250.55
09/18/2020,11584.1,11584.1,11446.1,11504.95
09/17/2020,11539.4,11587.2,11498.5,11516.1
09/16/2020,11538.45,11618.1,11516.75,11604.55
09/15/2020,11487.2,11535.95,11442.25,11521.8
09/14/2020,11540.15,11568.9,11383.55,11440.05
09-11-2020,11447.8,11493.5,11419.9,11464.45
09-10-2020,11363.3,11464.05,11327.4,11449.25
09-09-2020,11218.6,11298.15,11185.15,11278
09-08-2020,11378.55,11437.25,11290.45,11317.35
09-07-2020,11359.6,11381.15,11251.7,11355.05
09-04-2020,11566.2,11452.05,11303.65,11333.85
09-03-2020,11566.2,11584.95,11507.65,11527.45
09-02-2020,11478.55,11554.75,11430.4,11535
09-01-2020,11464.3,11553.55,11366.9,11470.25
08/31/2020,11777.55,11794.25,11325.85,11387.5
08/28/2020,11602.95,11686.05,11589.4,11647.6
08/27/2020,11609.3,11617.35,11540.6,11559.25
08/26/2020,11512.85,11561.75,11461.85,11549.6
08/25/2020,11513.1,11525.9,11423.35,11472.25
08/24/2020,11412,11497.25,11410.65,11466.45
08/21/2020,11409.65,11418.5,11362.2,11371.6
08/20/2020,11317.45,11361.45,11289.8,11312.2
08/19/2020,11452.15,11460.35,11394.1,11408.4
08/18/2020,11259.8,11401.7,11253.15,11385.35
08/17/2020,11248.9,11267.1,11144.5,11247.1
08/14/2020,11353.3,11366.25,11111.45,11178.4
08/13/2020,11334.85,11359.3,11269.95,11300.45
08-12-2020,11289,11322,11242.65,11308.4
08-11-2020,11322.25,11373.6,11299.15,11322.5
08-10-2020,11270.25,11337.3,11238,11270.15
08-07-2020,11186.65,11231.9,11142.05,11214.05
08-06-2020,11185.7,11256.8,11127.3,11200.15
08-05-2020,11155.75,11225.65,11064.05,11101.65
08-04-2020,10946.65,11112.25,10908.1,11095.25
08-03-2020,11057.55,11058.05,10882.25,10891.6
07/31/2020,11139.5,11150.4,11026.65,11073.45
07/30/2020,11254.3,11299.95,11084.95,11102.15
07/29/2020,11276.9,11341.4,11149.75,11202.85
07/28/2020,11154.1,11317.75,11151.4,11300.55
07/27/2020,11225,11225,11087.85,11131.8
07/24/2020,11149.95,11225.4,11090.3,11194.15
07/23/2020,11135,11239.8,11103.15,11215.45
07/22/2020,11231.2,11238.1,11056.55,11132.6
07/21/2020,11126.1,11179.55,11113.25,11162.25
07/20/2020,10999.45,11037.9,10953,11022.2
07/17/2020,10752,10933.45,10749.65,10901.7
07/16/2020,10706.2,10755.3,10595.2,10739.95
07/15/2020,10701,10827.45,10577.75,10618.2
07/14/2020,10750.85,10755.65,10562.9,10607.35
07/13/2020,10851.85,10894.05,10756.05,10802.7
07-10-2020,10764.1,10819.4,10713,10768.05
07-09-2020,10755.55,10836.85,10733,10813.45
07-08-2020,10818.65,10847.85,10676.55,10705.75
07-07-2020,10802.85,10813.8,10689.7,10799.65
07-06-2020,10723.85,10811.4,10695.1,10763.65
07-03-2020,10614.95,10631.3,10562.65,10607.35
07-02-2020,10493.05,10598.2,10485.55,10551.7
07-01-2020,10323.8,10447.05,10299.6,10430.05
06/30/2020,10382.6,10401.05,10267.35,10302.1
06/29/2020,10311.95,10337.95,10223.6,10312.4
06/26/2020,10378.9,10409.85,10311.25,10383
06/25/2020,10235.55,10361.8,10194.5,10288.9
06/24/2020,10529.25,10553.15,10281.95,10305.3
06/23/2020,10347.95,10484.7,10301.75,10471
06/22/2020,10318.75,10393.65,10277.6,10311.2
06/19/2020,10119,10272.4,10072.65,10244.4
06/18/2020,9863.25,10111.2,9845.05,10091.65
06/17/2020,9876.7,10003.6,9833.8,9881.15
06/16/2020,10014.8,10046.15,9728.5,9914
06/15/2020,9919.35,9943.35,9726.35,9813.7
06-12-2020,9544.95,9996.05,9544.35,9972.9
06-11-2020,10094.1,10112.05,9885.05,9902
06-10-2020,10072.6,10148.75,10036.85,10116.15
06-09-2020,10181.15,10291.15,10021.45,10046.65
06-08-2020,10326.75,10328.5,10120.25,10167.45
06-05-2020,10093.8,10177.8,10040.75,10142.15
06-04-2020,10054.25,10123.85,9944.25,10029.1
06-03-2020,10108.3,10176.2,10035.55,10061.55
06-02-2020,9880.85,9995.6,9824.05,9979.1
06-01-2020,9726.85,9931.6,9706.95,9826.15
05/29/2020,9422.2,9598.85,9376.9,9580.3
05/28/2020,9364.95,9511.25,9336.5,9490.1
05/27/2020,9082.2,9334,9004.25,9314.95
05/26/2020,9099.75,9161.65,8996.65,9029.05
